	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag		Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast12	35	51.178	8.4887	35.3037	85.57546	9.53143	1.03E+01	31.7023	0.00E+00								
cast12	36	52.854	8.4899	35.2414	87.45168	9.53093	9.22E+00	31.697	0.00E+00								
cast12	37	54.266	8.4856	35.3381	87.30972	9.53208	8.37E+00	31.6891	0.00E+00								
cast12	38	55.633	8.4855	35.2581	87.22241	9.53244	7.58E+00	31.6912	0.00E+00								
cast12	39	57.121	8.4863	35.2076	87.65244	9.53237	6.90E+00	31.6893	0.00E+00								
cast12	40	58.527	8.4831	35.1524	86.47536	9.53285	6.33E+00	31.6836	0.00E+00								
cast12	41	59.844	8.4815	35.1493	84.58246	9.53342	5.78E+00	31.687	0.00E+00								
cast12	42	61.444	8.4845	35.4552	85.74148	9.53267	5.28E+00	31.6961	0.00E+00								
cast12	43	62.943	8.4826	35.5711	87.95394	9.53296	4.89E+00	31.6849	0.00E+00								
cast12	44	64.053	8.4811	35.4308	86.65296	9.53375	4.53E+00	31.6827	0.00E+00								
cast12	45	65.02	8.5182	35.2043	81.8163	9.52594	4.16E+00	31.7054	0.00E+00								
cast23	1	2.124	9.0308	34.3003	92.60975	9.37373	1.45E+03	31.2722	0.00E+00								
cast23	2	3.172	8.8873	31.1742	91.83098	9.43617	4.24E+02	31.5352	0.00E+00								
cast23	3	4.53	8.8303	27.5101	90.75372	9.45513	3.04E+02	31.6305	0.00E+00								
cast23	4	5.962	8.8119	33.1711	89.84695	9.46103	3.46E+02	31.6733	0.00E+00								
cast23	5	7.319	8.7961	33.5203	89.35148	9.46494	2.98E+02	31.6684	0.00E+00								
cast23	6	8.731	8.7839	33.5203	90.01008	9.46823	2.55E+02	31.671	0.00E+00								
cast23	7	10.253	8.7766	33.8232	91.16462	9.47025	2.29E+02	31.6763	0.00E+00								
cast23	8	11.787	8.7672	34.0269	91.90462	9.4729	1.91E+02	31.6587	0.00E+00								
cast23	9	13.223	8.7576	33.9857	91.92623	9.47578	2.04E+02	31.645	0.00E+00								
cast23	10	14.646	8.7518	34.0851	91.86867	9.47791	1.81E+02	31.6407	0.00E+00								
cast23	11	16.123	8.7472	34.1805	91.83661	9.479	1.62E+02	31.6412	0.00E+00								
cast23	12	17.654	8.74	34.3467	91.81492	9.48009	1.51E+02	31.6397	0.00E+00								
cast23	13	19.138	8.7287	34.592	91.62858	9.48226	1.36E+02	31.633	0.00E+00								
cast23	14	20.502	8.7236	34.873	91.28339	9.48459	1.24E+02	31.631	0.00E+00								
cast23	15	21.88	8.7272	34.7492	91.03953	9.48501	1.12E+02	31.6344	0.00E+00								
cast23	16	23.358	8.7277	34.6905	90.84778	9.48417	9.99E+01	31.6344	0.00E+00								
cast23	17	24.892	8.7265	34.6225	90.95978	9.48434	9.07E+01	31.6349	0.00E+00								
cast23	18	26.396	8.724	34.6445	90.89207	9.48464	8.04E+01	31.6336	0.00E+00								
cast23	19	27.812	8.7244	34.631	90.61746	9.48539	7.08E+01	31.6319	0.00E+00								
cast23	20	29.206	8.7261	34.8401	90.33791	9.48519	6.24E+01	31.6305	0.00E+00								
cast23	21	30.722	8.7223	35.052	90.45088	9.48501	5.53E+01	31.6302	0.00E+00								
cast23	22	32.411	8.7193	34.7937	90.80038	9.48569	5.02E+01	31.6348	0.00E+00								
cast23	23	33.953	8.7171	34.874	90.92187	9.48639	4.56E+01	31.6308	0.00E+00								
cast23	24	35.33	8.7113	34.9307	90.8462	9.48734	4.07E+01	31.622	0.00E+00								
cast23	25	36.649	8.706	34.9304	90.526	9.48854	3.58E+01	31.6219	0.00E+00								
cast23	26	37.918	8.7037	34.9321	90.16266	9.48945	3.16E+01	31.6246	0.00E+00								
cast23	27	39.2	8.7014	34.7962	89.61957	9.48992	2.80E+01	31.6253	0.00E+00								
cast23	28	40.706	8.701	34.6356	89.36105	9.49004	2.45E+01	31.6326	0.00E+00								
cast23	29	42.34	8.7017	35.031	89.57088	9.48981	2.15E+01	31.6363	0.00E+00								
cast23	30	43.984	8.7021	34.9255	90.11103	9.48963	1.88E+01	31.6368	0.00E+00								
cast23	31	45.517	8.7008	34.7351	90.37794	9.48978	1.67E+01	31.634	0.00E+00								
cast23	32	46.929	8.698	34.8113	90.54718	9.49028	1.49E+01	31.6314	0.00E+00								
cast23	33	48.252	8.696	34.8049	90.28766	9.49103	1.33E+01	31.6287	0.00E+00								
cast23	34	49.497	8.6959	34.6958	89.45777	9.49128	1.19E+01	31.6298	0.00E+00								
cast23	35	50.642	8.6954	34.6757	87.71846	9.49135	1.06E+01	31.6295	0.00E+00								
cast23	36	51.629	8.6954	34.6887	85.55394	9.49145	9.49E+00	31.6295	0.00E+00								
cast23	37	52.657	8.7071	34.6982	81.985	9.49037	6.57E+00	31.6469	0.00E+00								
Cast24	1	1.797	8.8545	27.5389	88.37673	9.41355	1.79E+03	31.4981	0.00E+00								
Cast24	2	3.117	8.7573	31.6213	85.59095	9.46512	1.12E+03	31.847	0.00E+00								
Cast24	3	4.717	8.7791	33.4626	87.96477	9.46163	7.70E+02	31.8571	0.00E+00								
Cast24	4	6.058	8.7638	33.4208	88.12104	9.46511	6.03E+02	31.7862	0.00E+00								
Cast24	5	7.333	8.7512	33.4565	86.80975	9.46931	4.67E+02	31.7641	0.00E+00								
Cast24	6	8.649	8.7501	33.4873	84.47253	9.46978	4.57E+02	31.7947	0.00E+00								
Cast24	7	10.082	8.7702	33.4986	81.72322	9.45809	4.41E+02	31.9689	0.00E+00								
Cast24	8	11.681	8.8475	33.4936	82.64249	9.44285	3.20E+02	32.0394	0.00E+00								
Cast24	9	13.254	8.8096	33.5572	87.52409	9.45117	3.30E+02	31.7563	0.00E+00								
Cast24	10	14.733	8.7599	33.7793	90.92708	9.4665	2.47E+02	31.72	0.00E+00								
Cast24	11	16.224	8.7359	33.7366	92.05383	9.47457	2.26E+02	31.7222	0.00E+00								
Cast24	12	17.675	8.7255	33.7801	92.0144	9.47863	1.84E+02	31.7113	0.00E+00								
Cast24	13	19.027	8.7202	33.8745	90.98836	9.48093	1.81E+02	31.7013	0.00E+00								
Cast24	14	20.342	8.7169	34.2625	89.63262	9.48232	1.70E+02	31.696	0.00E+00								
Cast24	15	21.782	8.7172	34.1821	88.82197	9.48268	1.35E+02	31.6991	0.00E+00								
Cast24	16	23.432	8.7231	34.0232	89.4996	9.48177	1.13E+02	31.7035	0.00E+00								
Cast24	17	25.068	8.7206	34.123	90.65651	9.48163	1.14E+02	31.6891	0.00E+00								
Cast24	18	26.591	8.7143	34.3179	91.21695	9.48343	9.78E+01	31.6816	0.00E+00								
Cast24	19	27.983	8.7097	34.1293	91.18938	9.48491	8.24E+01	31.6743	0.00E+00								
Cast24	20	29.307	8.7061	33.9705	90.62153	9.48639	7.68E+01	31.6652	0.00E+00								
Cast24	21	30.609	8.7044	34.291	89.56172	9.48715	6.81E+01	31.6633	0.00E+00								
Cast24	22	31.935	8.703	34.2854	88.39437	9.48746	5.83E+01	31.6642	0.00E+00								
Cast24	23	33.445	8.7032	34.2154	87.98234	9.48716	5.15E+01	31.6749	0.00E+00								
Cast24	24	35.273	8.708	34.2875	89.21416	9.48614	4.56E+01	31.681	0.00E+00								
Cast24	25	36.881	8.7044	34.1113	90.36808	9.48675	4.01E+01	31.662	0.00E+00								
Cast24	26	38.254	8.7005	34.1242	90.45318	9.48793	3.69E+01	31.6607	0.00E+00								
Cast24	27	39.609	8.6999	34.2961	90.3981	9.48858	3.29E+01	31.6597	0.00E+00								
Cast24	28	40.987	8.7001	34.2269	90.27143	9.48879	2.85E+01	31.657	0.00E+00								
Cast24	29	42.352	8.7006	34.1929	89.65865	9.48891	2.54E+01	31.6545	0.00E+00								
Cast24	30	43.68	8.7004	34.2964	88.33177	9.48889	2.31E+01	31.6538	0.00E+00								
Cast24	31	45.097	8.7016	34.5215	87.26498	9.48856	2.06E+01	31.6581	0.00E+00								
Cast24	32	46.781	8.7049	34.3865	88.2057	9.48767	1.80E+01	31.6654	0.00E+00								
Cast24	33	48.562	8.7077	34.1717	89.99641	9.48712	1.62E+01	31.6593	0.00E+00								
Cast24	34	50	8.7037	34.2551	90.31359	9.48779	1.47E+01	31.6503	0.00E+00								
Cast24	35	51.303	8.7011	34.0697	90.14223	9.48866	1.33E+01	31.6495	0.00E+00								
Cast24	36	52.547	8.7006	34.1071	89.7915	9.4891	1.21E+01	31.6485	0.00E+00								
Cast24	37	53.798	8.7001	34.1957	89.12002	9.48917	1.10E+01	31.649	0.00E+00								
Cast24	38	55.036	8.6999	34.2255	87.40049	9.48918	9.93E+00	31.6507	0.00E+00								
Cast24	39	56.213	8.7287	34.1224	81.56768	9.48355	8.35E+00	31.659	0.00E+00								
cast35	1	1.83	9.2379	32.5354	90.89406	9.29049	1.35E+02	31.0167	0.00E+00								
cast35	2	3.038	9.0557	30.5724	85.49546	9.3919	7.17E+01	31.6396	0.00E+00								
cast35	3	4.513	9.0514	30.0972	85.08658	9.39733	6.63E+01	31.9743	0.00E+00								
cast35	4	6.077	9.0277	32.3603	88.12202	9.4036	6.39E+01	31.8129	0.00E+00								
cast35	5	7.552	8.9828	32.4807	90.85231	9.41738	6.69E+01	31.7636	0.00E+00								
cast35	6	9.052	8.9617	32.5	92.73268	9.42423	7.23E+01	31.7642	0.00E+00								
cast35	7	10.434	8.9322	32.6048	93.2459	9.4324	7.99E+01	31.6937	0.00E+00								
cast35	8	11.82	8.9107	32.6352	93.12087	9.43911	9.45E+01	31.6805	0.00E+00								
cast35	9	13.218	8.9004	32.6885	92.77976	9.4439	1.28E+02	31.6714	0.00E+00								
cast35	10	14.612	8.8965	32.7516	92.43063	9.4459	1.87E+02	31.6662	0.00E+00								
cast35	11	16.057	8.8955	32.809	92.13621	9.44655	1.98E+02	31.6693	0.00E+00								
cast35	12	17.559	8.8957	33.1557	91.84417	9.44637	2.07E+02	31.6743	0.00E+00								
cast35	13	19.069	8.8938	33.1897	91.65863	9.44661	1.85E+02	31.6701	0.00E+00								
cast35	14	20.608	8.8886	33.0535	91.65136	9.44752	1.64E+02	31.6633	0.00E+00								
cast35	15	22.055	8.8837	33.1431	91.73805	9.44947	1.50E+02	31.6506	0.00E+00								
cast35	16	23.507	8.8818	33.2785	91.7861	9.45047	1.31E+02	31.6495	0.00E+00								
cast35	17	24.941	8.8809	33.4932	91.88059	9.45091	1.17E+02	31.6483	0.00E+00								
cast35	18	26.379	8.8805	33.7034	91.8033	9.4514	1.02E+02	31.6427	0.00E+00								
cast35	19	27.794	8.8807	33.5794	91.71425	9.45155	8.83E+01	31.6417	0.00E+00								
cast35	20	29.233	8.8842	33.5044	91.5734	9.45135	7.93E+01	31.6425	0.00E+00								
cast35	21	30.697	8.8874	33.4675	91.46491	9.45051	6.94E+01	31.6438	0.00E+00								
cast35	22	32.196	8.8875	33.4435	91.39662	9.45004	6.23E+01	31.641	0.00E+00								
cast35	23	33.702	8.8862	33.4786	91.34677	9.4504	5.78E+01	31.6367	0.00E+00								
cast35	24	35.165	8.8841	33.4881	91.24714	9.45081	5.24E+01	31.6347	0.00E+00								
cast35	25	36.588	8.8819	33.5074	91.07588	9.45135	4.62E+01	31.6328	0.00E+00								
cast35	26	38.007	8.8814	33.521	90.86335	9.45175	4.08E+01	31.6341	0.00E+00								
cast35	27	39.378	8.8786	33.2611	90.79394	9.45199	3.65E+01	31.6312	0.00E+00								
cast35	28	40.901	8.8765	33.2971	90.8447	9.45232	3.24E+01	31.638	0.00E+00								
cast35	29	42.54	8.8762	33.3125	90.90342	9.45251	2.91E+01	31.6387	0.00E+00								
cast35	30	44.052	8.8754	33.7103	90.92809	9.45292	2.67E+01	31.6347	0.00E+00								
cast35	31	45.469	8.8746	33.7444	90.90009	9.45335	2.45E+01	31.6304	0.00E+00								
cast35	32	46.848	8.8745	34.0597	90.87554	9.45352	2.21E+01	31.6297	0.00E+00								
