	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast9	35	51.245	8.4628	34.7041	85.03192	9.545	1.64E+00	31.336	0.00E+00								
cast9	36	52.654	8.3828	35.1733	82.90284	9.57019	1.63E+00	31.4583	0.00E+00								
cast9	37	54.188	8.5444	35.2136	77.89731	9.54197	1.62E+00	31.4078	0.00E+00								
cast9	38	55.49	8.4635	35.3623	-9.99E-29	9.55139	1.61E+00	31.4601	0.00E+00								
cast15	1	1.994	11.8583	26.0288	98.48681	8.93821	2.31E+03	28.0275	0.00E+00								
cast15	2	3.292	11.57	25.8611	97.63722	9.06379	1.17E+03	28.5709	0.00E+00								
cast15	3	4.775	11.5046	26.7166	96.35039	9.08752	9.74E+02	28.7242	0.00E+00								
cast15	4	6.103	11.3539	27.5559	95.70401	9.10506	7.28E+02	28.6038	0.00E+00								
cast15	5	7.477	11.2675	28.1225	95.40194	9.13121	5.26E+02	28.6492	0.00E+00								
cast15	6	8.887	11.2277	28.1543	95.52524	9.14613	3.84E+02	28.6406	0.00E+00								
cast15	7	10.289	11.0865	28.4009	95.02452	9.16015	2.75E+02	28.5377	0.00E+00								
cast15	8	11.636	10.8615	29.2219	94.24449	9.19577	1.96E+02	28.4499	0.00E+00								
cast15	9	13.033	10.8082	30.2762	93.22742	9.23008	1.36E+02	28.6439	0.00E+00								
cast15	10	14.515	10.651	31.0453	93.42776	9.23637	9.62E+01	28.6798	0.00E+00								
cast15	11	15.96	10.3931	31.4462	94.44426	9.27272	6.95E+01	28.7269	0.00E+00								
cast15	12	17.368	10.1681	31.586	94.28365	9.31378	5.03E+01	28.8819	0.00E+00								
cast15	13	18.708	9.8817	31.59	91.62607	9.34427	3.59E+01	29.1941	0.00E+00								
cast15	14	19.999	9.787	31.891	87.28553	9.3717	2.46E+01	29.6803	0.00E+00								
cast15	15	21.729	9.7806	32.0784	81.71214	9.35899	1.67E+01	30.0067	0.00E+00								
cast15	16	23.469	9.6745	32.2388	85.00768	9.3588	1.23E+01	30.2155	0.00E+00								
cast15	17	24.903	9.4186	32.2678	89.54836	9.40825	9.28E+00	30.2125	0.00E+00								
cast15	18	26.418	9.2299	32.3865	90.86822	9.44208	6.99E+00	30.4167	0.00E+00								
cast15	19	27.754	9.1567	32.4596	87.74492	9.46023	5.42E+00	30.4698	0.00E+00								
cast15	20	29.259	9.1487	32.6177	86.16707	9.45967	4.30E+00	30.5926	0.00E+00								
cast15	21	30.968	9.1009	32.5737	91.5529	9.46599	3.59E+00	30.5311	0.00E+00								
