Cruise	Lon (?E)	Lat (?N)	Bot. Depth [m]	Station	Depth [m]	Pressure [psi]	Temp [deg. C]	Chlorophyl a [mg/m^3]	Oxygen [% Sat]	Oxygen [mg/l]	PAR	Salinity [PSU]
2018	-152.33	59.857	79	65	77	112.017	8.451	35.15	81.165	9.548	1.589	31.626
2018	-152.366667	59.862	84	7	1	1.766	10.521	32.688	89.289	9.245	708.482	29.173
2018	-152.366667	59.862	84	7	2	3.088	10.448	29.328	87.619	9.266	374.235	29.301
2018	-152.366667	59.862	84	7	3	4.55	10.414	30.936	87.135	9.27	238.704	29.336
2018	-152.366667	59.862	84	7	4	5.979	10.333	31.752	87.718	9.28	163.263	29.367
2018	-152.366667	59.862	84	7	5	7.425	10.273	32.278	88.139	9.291	105.977	29.404
2018	-152.366667	59.862	84	7	6	8.868	10.209	32.447	88.379	9.302	70.046	29.452
2018	-152.366667	59.862	84	7	7	10.299	10.145	32.421	89.386	9.31	47.798	29.506
2018	-152.366667	59.862	84	7	8	11.709	10.061	32.564	89.673	9.321	33.321	29.573
2018	-152.366667	59.862	84	7	9	13.132	10.003	32.644	89.148	9.33	23.248	29.687
2018	-152.366667	59.862	84	7	10	14.64	9.967	32.61	89.914	9.335	16.635	29.735
2018	-152.366667	59.862	84	7	11	16.112	9.894	32.603	90.778	9.346	12.449	29.763
2018	-152.366667	59.862	84	7	12	17.559	9.848	32.656	90.122	9.354	9.276	29.838
2018	-152.366667	59.862	84	7	13	19.085	9.809	32.664	90.208	9.358	7.042	29.907
2018	-152.366667	59.862	84	7	14	20.542	9.762	32.706	90.756	9.365	5.558	29.952
2018	-152.366667	59.862	84	7	15	21.946	9.728	32.669	90.375	9.37	4.382	30.005
2018	-152.366667	59.862	84	7	16	23.427	9.703	32.736	90.2	9.373	3.556	30.061
2018	-152.366667	59.862	84	7	17	24.925	9.677	32.754	90.893	9.377	3.043	30.085
2018	-152.366667	59.862	84	7	18	26.356	9.656	32.77	90.558	9.38	2.638	30.114
