DeviceName,DeviceDateTime,AgeInSeconds,BatteryVoltage,CommId,GpsQuality,Latitude,Longitude,SubmergedPercent,Temperature0cm,vnDivRate,ZCount,zThreshold
UAF-IWR-0012,2023-02-12 15:20:02,,10.4,300534060151460,,64.859953,-147.848053,,,,0,
UAF-IWR-0012,2023-02-12 15:10:02,,10.4,300534060151460,,64.860294,-147.848,,,,0,
UAF-IWR-0012,2023-02-12 15:00:02,,10.4,300534060151460,,64.860056,-147.848211,,,,0,
UAF-IWR-0012,2023-02-12 14:40:02,,10.4,300534060151460,,64.860553,-147.847742,,,,0,
UAF-IWR-0012,2023-02-12 14:30:25,,10.4,300534060151460,,64.860583,-147.84805,,,,0,
UAF-IWR-0012,2023-02-12 14:20:15,,10.4,300534060151460,,64.860414,-147.847978,,,,0,
UAF-IWR-0012,2023-02-12 14:10:08,,10.4,300534060151460,,64.860856,-147.847894,,,,0,
UAF-IWR-0012,2023-02-12 14:00:02,,10.4,300534060151460,,64.860475,-147.848336,,,,0,
UAF-IWR-0012,2023-02-12 13:50:02,,10.4,300534060151460,,64.860881,-147.848539,,,,0,
UAF-IWR-0012,2023-02-12 12:50:02,,10.4,300534060151460,,64.86015,-147.847814,,,,0,
UAF-IWR-0012,2023-02-12 12:40:02,,10.4,300534060151460,,64.860197,-147.847967,,,,0,
UAF-IWR-0012,2023-02-12 12:30:02,,10.4,300534060151460,,64.8601,-147.848094,,,,0,
UAF-IWR-0012,2023-02-12 12:20:02,,10.4,300534060151460,,64.85985,-147.848325,,,,0,
UAF-IWR-0012,2023-02-12 12:10:02,,10.4,300534060151460,,64.859906,-147.848136,,,,0,
UAF-IWR-0012,2023-02-12 11:40:02,,10.4,300534060151460,,64.860744,-147.8483,,,,0,
UAF-IWR-0012,2023-02-12 11:30:02,,10.4,300534060151460,,64.860383,-147.848136,,,,0,
UAF-IWR-0012,2023-02-12 11:20:02,,10.4,300534060151460,,64.861067,-147.847858,,,,0,
UAF-IWR-0012,2023-02-12 11:10:02,,10.4,300534060151460,,64.860767,-147.847728,,,,0,
UAF-IWR-0012,2023-02-12 10:10:02,,10.4,300534060151460,,64.859683,-147.847903,,,,0,
UAF-IWR-0012,2023-02-12 09:20:03,,10.4,300534060151460,,64.860119,-147.847978,,,,0,
UAF-IWR-0012,2023-02-12 09:10:02,,10.4,300534060151460,,64.860136,-147.847981,,,,0,
UAF-IWR-0012,2023-02-12 09:00:02,,10.4,300534060151460,,64.858831,-147.849544,,,,0,
UAF-IWR-0012,2023-02-12 08:50:02,,10.4,300534060151460,,64.859475,-147.848569,,,,0,
UAF-IWR-0012,2023-02-12 08:40:02,,10.4,300534060151460,,64.860811,-147.848281,,,,0,
UAF-IWR-0012,2023-02-12 08:30:02,,10.4,300534060151460,,64.860467,-147.847997,,,,0,
UAF-IWR-0012,2023-02-12 07:30:03,,10.4,300534060151460,,64.859706,-147.847825,,,,0,
UAF-IWR-0012,2023-02-12 07:20:02,,10.4,300534060151460,,64.859856,-147.848094,,,,0,
UAF-IWR-0012,2023-02-12 07:10:03,,10.4,300534060151460,,64.860031,-147.848125,,,,0,
UAF-IWR-0012,2023-02-12 07:00:02,,10.4,300534060151460,,64.860056,-147.848303,,,,0,
UAF-IWR-0012,2023-02-12 06:50:02,,10.5,300534060151460,,64.860347,-147.848,,,,0,
UAF-IWR-0012,2023-02-12 05:40:02,,10.4,300534060151460,,64.860353,-147.8479,,,,0,
UAF-IWR-0012,2023-02-12 05:30:02,,10.4,300534060151460,,64.859711,-147.847967,,,,0,
UAF-IWR-0012,2023-02-12 05:20:29,,10.4,300534060151460,,64.867967,-147.842383,,,,0,
UAF-IWR-0012,2023-02-12 05:10:02,,10.5,300534060151460,,64.859642,-147.848192,,,,0,
UAF-IWR-0012,2023-02-12 04:10:02,,10.5,300534060151460,,64.860417,-147.8481,,,,0,
UAF-IWR-0012,2023-02-12 04:00:02,,10.4,300534060151460,,64.859811,-147.848414,,,,0,
UAF-IWR-0012,2023-02-12 03:50:02,,10.4,300534060151460,,64.860097,-147.84815,,,,0,
UAF-IWR-0012,2023-02-12 03:40:02,,10.4,300534060151460,,64.860461,-147.848025,,,,0,
UAF-IWR-0012,2023-02-12 03:30:02,,10.5,300534060151460,,64.859986,-147.848067,,,,0,
UAF-IWR-0012,2023-02-12 03:20:13,,10.5,300534060151460,,64.860031,-147.848044,,,,0,
UAF-IWR-0012,2023-02-12 02:40:02,,10.4,300534060151460,,64.860114,-147.848169,,,,0,
UAF-IWR-0012,2023-02-12 02:30:09,,10.5,300534060151460,,64.860736,-147.847425,,,,0,
UAF-IWR-0012,2023-02-12 02:20:02,,10.5,300534060151460,,64.86015,-147.848056,,,,0,
UAF-IWR-0012,2023-02-12 02:13:49,,10.4,300534060151460,,64.860492,-147.848292,,,,0,
UAF-IWR-0012,2023-02-12 02:00:08,,10.5,300534060151460,,64.8603,-147.848272,,,,0,
UAF-IWR-0012,2023-02-12 01:56:00,,10.5,300534060151460,,64.860086,-147.848142,,,,0,
UAF-IWR-0012,2023-02-12 01:30:02,,10.5,300534060151460,,64.860561,-147.848689,,,,0,
UAF-IWR-0012,2023-02-12 00:40:02,,10.5,300534060151460,,64.860067,-147.848117,,,,0,
UAF-IWR-0012,2023-02-12 00:30:02,,10.5,300534060151460,,64.860508,-147.848631,,,,0,
UAF-IWR-0012,2023-02-12 00:20:02,,10.5,300534060151460,,64.860131,-147.848119,,,,0,
UAF-IWR-0012,2023-02-12 00:10:02,,10.5,300534060151460,,64.859964,-147.847958,,,,0,
UAF-IWR-0012,2023-02-12 00:00:02,,10.5,300534060151460,,64.860272,-147.848225,,,,0,
UAF-IWR-0012,2023-02-11 23:50:30,,10.5,300534060151460,,64.8603,-147.848625,,,,0,
UAF-IWR-0012,2023-02-11 22:40:02,,10.5,300534060151460,,64.860286,-147.8478,,,,0,
UAF-IWR-0012,2023-02-11 22:30:02,,10.5,300534060151460,,64.86,-147.848125,,,,0,
UAF-IWR-0012,2023-02-11 22:20:02,,10.5,300534060151460,,64.860558,-147.848358,,,,0,
UAF-IWR-0012,2023-02-11 22:10:02,,10.5,300534060151460,,64.860753,-147.848139,,,,0,
UAF-IWR-0012,2023-02-11 21:50:02,,10.5,300534060151460,,64.859958,-147.848125,,,,0,
UAF-IWR-0012,2023-02-11 21:40:02,,10.5,300534060151460,,64.859872,-147.848172,,,,0,
UAF-IWR-0012,2023-02-11 20:50:02,,10.5,300534060151460,,64.860628,-147.84765,,,,0,
UAF-IWR-0012,2023-02-11 20:30:02,,10.5,300534060151460,,64.860572,-147.847531,,,,0,
UAF-IWR-0012,2023-02-11 20:20:02,,10.5,300534060151460,,64.860494,-147.847822,,,,0,
UAF-IWR-0012,2023-02-11 20:10:02,,10.5,300534060151460,,64.860472,-147.848044,,,,0,
UAF-IWR-0012,2023-02-11 19:20:02,,10.5,300534060151460,,64.860192,-147.847953,,,,0,
UAF-IWR-0012,2023-02-11 19:00:02,,10.5,300534060151460,,64.85985,-147.847856,,,,0,
UAF-IWR-0012,2023-02-11 18:40:02,,10.5,300534060151460,,64.860111,-147.848056,,,,0,
UAF-IWR-0012,2023-02-11 17:40:02,,10.5,300534060151460,,64.859467,-147.84835,,,,0,
UAF-IWR-0012,2023-02-11 17:30:02,,10.5,300534060151460,,64.860336,-147.847972,,,,0,
UAF-IWR-0012,2023-02-11 17:20:02,,10.5,300534060151460,,64.859733,-147.848369,,,,0,
UAF-IWR-0012,2023-02-11 17:10:02,,10.5,300534060151460,,64.860119,-147.848244,,,,0,
UAF-IWR-0012,2023-02-11 17:00:02,,10.5,300534060151460,,64.860103,-147.848294,,,,0,
UAF-IWR-0012,2023-02-11 16:00:03,,10.5,300534060151460,,64.860506,-147.848067,,,,0,
UAF-IWR-0012,2023-02-11 15:50:12,,10.5,300534060151460,,64.860211,-147.848456,,,,0,
UAF-IWR-0012,2023-02-11 15:40:02,,10.5,300534060151460,,64.860053,-147.847975,,,,0,
UAF-IWR-0012,2023-02-11 15:30:02,,10.5,300534060151460,,64.860036,-147.848233,,,,0,
UAF-IWR-0012,2023-02-11 14:30:03,,10.5,300534060151460,,64.862194,-147.847864,,,,0,
UAF-IWR-0012,2023-02-11 14:20:02,,10.5,300534060151460,,64.860633,-147.848067,,,,0,
UAF-IWR-0012,2023-02-11 14:00:02,,10.5,300534060151460,,64.860406,-147.848108,,,,0,
UAF-IWR-0012,2023-02-11 13:50:02,,10.5,300534060151460,,64.860619,-147.848272,,,,0,
UAF-IWR-0012,2023-02-11 13:40:05,,10.5,300534060151460,,64.860308,-147.847825,,,,0,
UAF-IWR-0012,2023-02-11 13:30:02,,10.5,300534060151460,,64.859828,-147.848206,,,,0,
UAF-IWR-0012,2023-02-11 13:20:02,,10.5,300534060151460,,64.860406,-147.848403,,,,0,
UAF-IWR-0012,2023-02-11 12:20:02,,10.5,300534060151460,,64.859617,-147.848192,,,,0,
UAF-IWR-0012,2023-02-11 12:10:02,,10.5,300534060151460,,64.860169,-147.848419,,,,0,
UAF-IWR-0012,2023-02-11 12:00:03,,10.5,300534060151460,,64.860414,-147.847942,,,,0,
UAF-IWR-0012,2023-02-11 11:50:02,,10.5,300534060151460,,64.860406,-147.848383,,,,0,
UAF-IWR-0012,2023-02-11 11:40:02,,10.5,300534060151460,,64.860583,-147.848219,,,,0,
UAF-IWR-0012,2023-02-11 11:20:02,,10.5,300534060151460,,64.861294,-147.847761,,,,0,
UAF-IWR-0012,2023-02-11 11:10:02,,10.5,300534060151460,,64.860306,-147.848789,,,,0,
UAF-IWR-0012,2023-02-11 11:00:03,,10.5,300534060151460,,64.860378,-147.848414,,,,0,
UAF-IWR-0012,2023-02-11 10:50:02,,10.5,300534060151460,,64.859828,-147.848414,,,,0,
UAF-IWR-0012,2023-02-11 10:40:02,,10.5,300534060151460,,64.8602,-147.847911,,,,0,
UAF-IWR-0012,2023-02-11 10:30:02,,10.5,300534060151460,,64.860072,-147.848231,,,,0,
UAF-IWR-0012,2023-02-11 10:20:02,,10.5,300534060151460,,64.860358,-147.848394,,,,0,
UAF-IWR-0012,2023-02-11 10:10:03,,10.5,300534060151460,,64.860194,-147.848003,,,,0,
UAF-IWR-0012,2023-02-11 10:00:02,,10.5,300534060151460,,64.860183,-147.847997,,,,0,
UAF-IWR-0012,2023-02-11 09:50:02,,10.5,300534060151460,,64.859678,-147.848164,,,,0,
UAF-IWR-0012,2023-02-11 09:40:02,,10.5,300534060151460,,64.860119,-147.84835,,,,0,
UAF-IWR-0012,2023-02-11 08:30:01,,10.5,300534060151460,,64.859603,-147.848358,,,,0,
UAF-IWR-0012,2023-02-11 08:10:20,,10.5,300534060151460,,64.860722,-147.848747,,,,0,
UAF-IWR-0012,2023-02-11 08:00:44,,10.5,300534060151460,,64.861058,-147.847878,,,,0,
UAF-IWR-0012,2023-02-11 07:50:02,,10.5,300534060151460,,64.860342,-147.848031,,,,0,
UAF-IWR-0012,2023-02-11 07:20:02,,10.5,300534060151460,,64.860042,-147.848053,,,,0,
UAF-IWR-0012,2023-02-11 07:10:02,,10.5,300534060151460,,64.85995,-147.848022,,,,0,
UAF-IWR-0012,2023-02-11 06:30:02,,10.6,300534060151460,,64.859475,-147.848061,,,,0,
UAF-IWR-0012,2023-02-11 06:20:02,,10.5,300534060151460,,64.860103,-147.848128,,,,0,
UAF-IWR-0012,2023-02-11 05:20:07,,10.6,300534060151460,,64.860928,-147.846958,,,,0,
UAF-IWR-0012,2023-02-11 05:10:02,,10.5,300534060151460,,64.860344,-147.848086,,,,0,
UAF-IWR-0012,2023-02-11 05:00:44,,10.5,300534060151460,,64.861186,-147.849131,,,,0,
UAF-IWR-0012,2023-02-11 04:50:07,,10.5,300534060151460,,64.860797,-147.8482,,,,0,
UAF-IWR-0012,2023-02-11 04:40:02,,10.5,300534060151460,,64.860925,-147.848283,,,,0,
UAF-IWR-0012,2023-02-11 03:30:02,,10.6,300534060151460,,64.859831,-147.848164,,,,0,
UAF-IWR-0012,2023-02-11 03:20:02,,10.6,300534060151460,,64.859922,-147.848033,,,,0,
UAF-IWR-0012,2023-02-11 03:10:02,,10.5,300534060151460,,64.860478,-147.848061,,,,0,
UAF-IWR-0012,2023-02-11 03:00:02,,10.5,300534060151460,,64.860178,-147.848136,,,,0,
UAF-IWR-0012,2023-02-11 02:50:02,,10.6,300534060151460,,64.859758,-147.848422,,,,0,
UAF-IWR-0012,2023-02-11 02:40:01,,10.5,300534060151460,,64.8612,-147.847003,,,,0,
UAF-IWR-0012,2023-02-11 02:30:02,,10.6,300534060151460,,64.860428,-147.847989,,,,0,
UAF-IWR-0012,2023-02-11 02:20:05,,10.6,300534060151460,,64.860578,-147.848186,,,,0,
UAF-IWR-0012,2023-02-11 02:10:20,,10.6,300534060151460,,64.860506,-147.848019,,,,0,
UAF-IWR-0012,2023-02-11 01:40:02,,10.6,300534060151460,,64.860425,-147.8479,,,,0,
UAF-IWR-0012,2023-02-11 01:30:02,,10.6,300534060151460,,64.860564,-147.848778,,,,0,
UAF-IWR-0012,2023-02-11 00:00:02,,10.6,300534060151460,,64.859831,-147.847989,,,,0,
UAF-IWR-0012,2023-02-10 23:50:02,,10.6,300534060151460,,64.859628,-147.848178,,,,0,
UAF-IWR-0012,2023-02-10 23:40:02,,10.6,300534060151460,,64.859811,-147.847947,,,,0,
UAF-IWR-0012,2023-02-10 23:30:01,,10.6,300534060151460,,64.860103,-147.848342,,,,0,
UAF-IWR-0012,2023-02-10 23:20:02,,10.6,300534060151460,,64.860489,-147.848292,,,,0,
UAF-IWR-0012,2023-02-10 23:10:04,,10.6,300534060151460,,64.860661,-147.848461,,,,0,
UAF-IWR-0012,2023-02-10 22:40:02,,10.6,300534060151460,,64.86025,-147.848033,,,,0,
UAF-IWR-0012,2023-02-10 22:30:02,,10.6,300534060151460,,64.86025,-147.848344,,,,0,
UAF-IWR-0012,2023-02-10 21:50:02,,10.6,300534060151460,,64.860139,-147.848206,,,,0,
UAF-IWR-0012,2023-02-10 21:40:02,,10.6,300534060151460,,64.860328,-147.848386,,,,0,
UAF-IWR-0012,2023-02-10 21:30:02,,10.6,300534060151460,,64.860161,-147.848111,,,,0,
UAF-IWR-0012,2023-02-10 21:20:02,,10.6,300534060151460,,64.860186,-147.848264,,,,0,
UAF-IWR-0012,2023-02-10 21:10:02,,10.6,300534060151460,,64.860425,-147.848106,,,,0,
UAF-IWR-0012,2023-02-10 20:20:02,,10.6,300534060151460,,64.860397,-147.848392,,,,0,
UAF-IWR-0012,2023-02-10 20:10:02,,10.6,300534060151460,,64.859931,-147.8488,,,,0,
UAF-IWR-0012,2023-02-10 20:00:03,,10.6,300534060151460,,64.859814,-147.8483,,,,0,
UAF-IWR-0012,2023-02-10 19:50:02,,10.6,300534060151460,,64.860358,-147.848131,,,,0,
UAF-IWR-0012,2023-02-10 19:00:02,,10.6,300534060151460,,64.860028,-147.848106,,,,0,
UAF-IWR-0012,2023-02-10 18:50:02,,10.6,300534060151460,,64.860211,-147.848119,,,,0,
UAF-IWR-0012,2023-02-10 18:40:02,,10.6,300534060151460,,64.860103,-147.847928,,,,0,
UAF-IWR-0012,2023-02-10 18:30:02,,10.6,300534060151460,,64.860039,-147.847975,,,,0,
UAF-IWR-0012,2023-02-10 18:20:03,,10.6,300534060151460,,64.859981,-147.848164,,,,0,
UAF-IWR-0012,2023-02-10 18:10:02,,10.6,300534060151460,,64.860142,-147.847989,,,,0,
UAF-IWR-0012,2023-02-10 17:00:02,,10.6,300534060151460,,64.860253,-147.848058,,,,0,
UAF-IWR-0012,2023-02-10 16:50:02,,10.6,300534060151460,,64.860219,-147.848047,,,,0,
UAF-IWR-0012,2023-02-10 16:40:02,,10.6,300534060151460,,64.860192,-147.848278,,,,0,
