Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	24	23.774	10.2968	23.861	31.1013	88.9593	8.17997	4.1032	0.9911
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	25	24.765	10.2679	23.8725	31.1099	88.62475	8.15396	4.1238	1.0845
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	26	25.755	10.2483	23.8821	31.118	88.37362	8.13394	4.0996	1.0628
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	27	26.746	10.2312	23.8885	31.1226	87.88538	8.09181	4.0943	1.0181
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	28	27.736	10.2034	23.9038	31.1363	87.41808	8.05304	4.1129	0.9506
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	29	28.727	10.1984	23.9167	31.1517	87.3864	8.05022	4.1114	0.9608
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	30	29.717	10.1868	23.9356	31.1736	87.58475	8.06945	4.1256	0.9595
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	31	30.708	10.1616	23.9508	31.1877	87.21681	8.0393	4.1552	0.855
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	32	31.698	10.0742	23.9787	31.2051	86.6314	7.99988	4.1771	0.7276
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	33	32.689	9.9529	24.0154	31.2268	85.14895	7.88302	4.2129	0.6425
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	34	33.679	9.7824	24.0815	31.2761	83.67723	7.77375	4.2614	0.5107
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	35	34.67	9.6741	24.1263	31.3112	82.15811	7.64932	4.3081	0.3975
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	36	35.66	9.5674	24.1655	31.3397	81.49338	7.60413	4.3501	0.3743
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	37	36.651	9.4903	24.2025	31.3713	80.58248	7.5306	4.3644	0.3607
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	38	37.641	9.4294	24.2223	31.3845	79.66903	7.45472	4.3842	0.3279
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	39	38.632	9.2923	24.2708	31.419	78.23894	7.34177	4.3943	0.2655
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	40	39.622	9.0434	24.3627	31.4873	76.69164	7.23384	4.4226	0.2272
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	41	40.613	8.8358	24.429	31.5316	75.5032	7.15318	4.4399	0.1796
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	42	41.603	8.7495	24.4582	31.5523	75.21214	7.1386	4.4583	0.1625
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	43	42.593	8.7448	24.4597	31.5532	75.06034	7.1249	4.4584	0.1502
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	44	43.584	8.7227	24.4638	31.5543	74.81606	7.10523	4.4559	0.1585
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	45	44.575	8.7022	24.4695	31.5576	74.70333	7.09767	4.4645	0.1548
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	46	45.565	8.6791	24.4756	31.5609	74.57135	7.08868	4.4599	0.1364
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	47	46.555	8.6599	24.4805	31.5635	74.53309	7.08801	4.4488	0.1473
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	48	47.546	8.6537	24.4823	31.5646	74.1193	7.04961	4.4557	0.143
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	49	48.536	8.5119	24.5231	31.5898	73.5303	7.015	4.4576	0.1118
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	50	49.527	8.3995	24.558	31.6132	73.08621	6.98945	4.4625	0.1123
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	51	50.517	8.2638	24.5947	31.6347	72.51305	6.95521	4.461	0.1076
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	52	51.507	7.9344	24.6915	31.6979	72.3738	6.99161	4.4444	0.105
6	25	c	9/8/2004	15:08	-152.685	58.635	88	1	0.991	12.0756	22.4309	29.6587	100.8835	9.00621	3.8178	0.4484
6	25	c	9/8/2004	15:08	-152.685	58.635	88	2	1.981	12.0718	22.4192	29.6428	100.76482	8.99724	3.8052	0.5111
6	25	c	9/8/2004	15:08	-152.685	58.635	88	3	2.972	12.0798	22.3979	29.6172	100.53968	8.97704	3.8187	0.5471
6	25	c	9/8/2004	15:08	-152.685	58.635	88	4	3.963	11.954	22.5299	29.7581	101.68866	9.09617	3.8694	0.8833
6	25	c	9/8/2004	15:08	-152.685	58.635	88	5	4.953	11.8123	22.6799	29.9187	102.87322	9.22084	3.858	1.2248
6	25	c	9/8/2004	15:08	-152.685	58.635	88	6	5.944	11.6325	22.8638	30.1143	103.65075	9.31515	3.8169	1.3986
6	25	c	9/8/2004	15:08	-152.685	58.635	88	7	6.934	11.4684	23.0964	30.3767	104.64506	9.42234	3.8753	1.3991
6	25	c	9/8/2004	15:08	-152.685	58.635	88	8	7.925	11.3478	23.2266	30.5169	105.54074	9.51944	3.8872	1.5043
6	25	c	9/8/2004	15:08	-152.685	58.635	88	9	8.916	11.3179	23.3061	30.6124	106.16347	9.57604	3.8692	1.4346
6	25	c	9/8/2004	15:08	-152.685	58.635	88	10	9.907	11.2648	23.3511	30.6584	105.85133	9.55611	3.8938	1.3044
6	25	c	9/8/2004	15:08	-152.685	58.635	88	11	10.897	11.2137	23.3759	30.6788	105.39878	9.52459	3.9017	1.4587
6	25	c	9/8/2004	15:08	-152.685	58.635	88	12	11.887	11.1727	23.3894	30.6869	104.51347	9.45252	3.8806	1.494
6	25	c	9/8/2004	15:08	-152.685	58.635	88	13	12.878	11.1197	23.4155	30.7086	103.67599	9.38628	3.8581	1.6383
6	25	c	9/8/2004	15:08	-152.685	58.635	88	14	13.869	11.1171	23.4236	30.7184	103.12981	9.33679	3.8636	1.7122
6	25	c	9/8/2004	15:08	-152.685	58.635	88	15	14.859	11.0677	23.4447	30.7346	101.31919	9.18175	3.82	1.9425
