Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	25	c	7/18/2004	22:46	-152.685	58.635	88	67	5.9251	0.2369	66.363	25.1178	31.9056
4	25	c	7/18/2004	22:46	-152.685	58.635	88	68	5.9182	0.237	67.353	25.1198	31.9071
4	25	c	7/18/2004	22:46	-152.685	58.635	88	69	5.9182	0.2376	68.344	25.1197	31.907
4	25	c	7/18/2004	22:46	-152.685	58.635	88	70	5.9191	0.2377	69.334	25.1192	31.9064
4	25	c	7/18/2004	22:46	-152.685	58.635	88	71	5.9071	0.2362	70.324	25.1233	31.9099
4	25	c	7/18/2004	22:46	-152.685	58.635	88	72	5.9121	0.2361	71.314	25.1248	31.9123
4	25	c	7/18/2004	22:46	-152.685	58.635	88	73	5.8988	0.2368	72.305	25.1302	31.9173
4	25	c	7/18/2004	22:46	-152.685	58.635	88	74	5.8861	0.2364	73.295	25.1321	31.9177
4	25	c	7/18/2004	22:46	-152.685	58.635	88	75	5.8634	0.2369	74.285	25.1365	31.9198
4	25	c	7/18/2004	22:46	-152.685	58.635	88	76	5.7781	0.2352	75.276	25.1634	31.9412
4	25	c	7/18/2004	22:46	-152.685	58.635	88	77	5.6203	0.2339	76.266	25.2177	31.9865
4	25	c	7/18/2004	22:46	-152.685	58.635	88	78	5.4729	0.2313	77.256	25.2555	32.0128
4	25	c	7/18/2004	22:46	-152.685	58.635	88	79	5.4057	0.2314	78.247	25.2688	32.0199
4	25	c	7/18/2004	22:46	-152.685	58.635	88	80	5.3869	0.2309	79.237	25.2756	32.0258
4	25	c	7/18/2004	22:46	-152.685	58.635	88	81	5.3796	0.2315	80.227	25.2822	32.0331
4	25	c	7/18/2004	22:46	-152.685	58.635	88	82	5.3641	0.2313	81.217	25.2929	32.0444
4	25	c	7/18/2004	22:46	-152.685	58.635	88	83	5.3428	0.231	82.208	25.3031	32.0542
4	25	c	7/18/2004	22:46	-152.685	58.635	88	84	5.331	0.2306	83.198	25.3083	32.059
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	1	13.1739	0.3688	0.991	23.1589	30.8661
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	2	13.1809	0.3514	1.981	23.1426	30.8467
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	3	12.9649	0.354	2.972	23.2125	30.8839
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	4	10.4459	0.3886	3.962	24.0326	31.3582
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	5	9.2316	0.4175	4.953	24.421	31.5988
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	6	9.1674	0.4101	5.944	24.423	31.5896
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	7	8.9391	0.4229	6.934	24.4865	31.6258
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	8	8.7194	0.4098	7.925	24.5371	31.648
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	9	8.5333	0.4052	8.916	24.5875	31.6769
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	10	8.4372	0.419	9.906	24.6076	31.6843
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	11	8.325	0.3881	10.897	24.6343	31.6974
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	12	8.2571	0.3838	11.888	24.649	31.7035
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	13	8.1519	0.3846	12.878	24.6739	31.7158
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	14	8.0486	0.3764	13.869	24.6979	31.7274
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	15	7.9106	0.3663	14.859	24.7168	31.7264
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	16	7.8973	0.3558	15.85	24.7211	31.7295
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	17	7.8413	0.3534	16.84	24.7273	31.7273
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	18	7.8282	0.3513	17.831	24.7319	31.7307
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	19	7.8222	0.3565	18.821	24.7433	31.7441
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	20	7.8118	0.3464	19.812	24.745	31.7445
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	21	7.8094	0.3434	20.803	24.7447	31.7437
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	22	7.8085	0.3528	21.793	24.7455	31.7445
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	23	7.8058	0.3448	22.784	24.746	31.7446
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	24	7.7757	0.3294	23.774	24.7511	31.7458
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	25	7.7434	0.3344	24.765	24.7636	31.7559
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	26	7.7441	0.3366	25.755	24.7643	31.7569
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	27	7.7269	0.3389	26.746	24.7715	31.763
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	28	7.6676	0.3206	27.736	24.7867	31.7718
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	29	7.5993	0.3321	28.727	24.8045	31.7825
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	30	7.543	0.3226	29.717	24.818	31.7897
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	31	7.5261	0.3031	30.708	24.8229	31.7929
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	32	7.5216	0.3055	31.698	24.824	31.7936
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	33	7.5084	0.3033	32.689	24.8259	31.7936
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	34	7.4997	0.3042	33.679	24.8277	31.7944
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	35	7.4956	0.3096	34.67	24.8282	31.7943
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	36	7.4698	0.3045	35.66	24.8344	31.7977
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	37	7.4412	0.3034	36.651	24.8435	31.8043
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	38	7.4396	0.3068	37.641	24.8437	31.8042
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	39	7.4381	0.3085	38.632	24.8441	31.8044
4	27	c	7/18/2004	22:46	-152.76667	58.665	194	40	7.4314	0.3206	39.622	24.845	31.8044
