Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	57	c	7/18/2004	23:46	-151.65	59.525	109	60	8.1238	0.5098	59.43	24.485	31.4688
4	57	c	7/18/2004	23:46	-151.65	59.525	109	61	8.0932	0.5067	60.421	24.4873	31.4662
4	57	c	7/18/2004	23:46	-151.65	59.525	109	62	8.0607	0.5025	61.411	24.4893	31.4628
4	57	c	7/18/2004	23:46	-151.65	59.525	109	63	8.0222	0.4962	62.402	24.4928	31.4603
4	57	c	7/18/2004	23:46	-151.65	59.525	109	64	7.9806	0.4955	63.392	24.4969	31.458
4	57	c	7/18/2004	23:46	-151.65	59.525	109	65	7.9644	0.4928	64.382	24.498	31.4564
4	57	c	7/18/2004	23:46	-151.65	59.525	109	66	7.9535	0.4928	65.373	24.4981	31.4545
4	57	c	7/18/2004	23:46	-151.65	59.525	109	67	7.9465	0.491	66.363	24.4983	31.4536
4	57	c	7/18/2004	23:46	-151.65	59.525	109	68	7.9133	0.4903	67.353	24.502	31.4523
4	57	c	7/18/2004	23:46	-151.65	59.525	109	69	7.8301	0.4891	68.343	24.5085	31.4457
4	57	c	7/18/2004	23:46	-151.65	59.525	109	70	7.745	0.487	69.334	24.515	31.4388
4	57	c	7/18/2004	23:46	-151.65	59.525	109	71	7.7183	0.4864	70.324	24.5182	31.4382
4	57	c	7/18/2004	23:46	-151.65	59.525	109	72	7.7003	0.486	71.314	24.5199	31.4372
4	57	c	7/18/2004	23:46	-151.65	59.525	109	73	7.6904	0.4857	72.305	24.5207	31.4363
4	57	c	7/18/2004	23:46	-151.65	59.525	109	74	7.6918	0.4864	73.295	24.5207	31.4366
4	57	c	7/18/2004	23:46	-151.65	59.525	109	75	7.6934	0.4856	74.285	24.5207	31.4369
4	57	c	7/18/2004	23:46	-151.65	59.525	109	76	7.6959	0.4856	75.276	24.521	31.4377
4	57	c	7/18/2004	23:46	-151.65	59.525	109	77	7.6977	0.4853	76.266	24.5209	31.4378
4	57	c	7/18/2004	23:46	-151.65	59.525	109	78	7.7073	0.4863	77.256	24.5235	31.4428
4	57	c	7/18/2004	23:46	-151.65	59.525	109	79	7.7096	0.4854	78.246	24.5281	31.4491
4	57	c	7/18/2004	23:46	-151.65	59.525	109	80	7.7011	0.4858	79.237	24.5305	31.4506
4	57	c	7/18/2004	23:46	-151.65	59.525	109	81	7.6904	0.4857	80.227	24.5323	31.451
4	57	c	7/18/2004	23:46	-151.65	59.525	109	82	7.6736	0.4858	81.217	24.5354	31.452
4	57	c	7/18/2004	23:46	-151.65	59.525	109	83	7.642	0.4857	82.208	24.5395	31.4516
4	57	c	7/18/2004	23:46	-151.65	59.525	109	84	7.6037	0.4853	83.198	24.5445	31.4512
4	57	c	7/18/2004	23:46	-151.65	59.525	109	85	7.588	0.486	84.188	24.5468	31.4514
4	57	c	7/18/2004	23:46	-151.65	59.525	109	86	7.5871	0.4846	85.178	24.547	31.4515
4	57	c	7/18/2004	23:46	-151.65	59.525	109	87	7.5878	0.4851	86.169	24.5476	31.4524
4	57	c	7/18/2004	23:46	-151.65	59.525	109	88	7.585	0.4852	87.159	24.5501	31.455
4	57	c	7/18/2004	23:46	-151.65	59.525	109	89	7.5863	0.486	88.149	24.5515	31.4571
4	57	c	7/18/2004	23:46	-151.65	59.525	109	90	7.5889	0.4858	89.139	24.5518	31.4579
4	57	c	7/18/2004	23:46	-151.65	59.525	109	91	7.5958	0.4856	90.129	24.5518	31.4591
4	57	c	7/18/2004	23:46	-151.65	59.525	109	92	7.6117	0.4849	91.12	24.5527	31.463
4	57	c	7/18/2004	23:46	-151.65	59.525	109	93	7.6449	0.4869	92.11	24.5523	31.4683
4	57	c	7/18/2004	23:46	-151.65	59.525	109	94	7.6473	0.4865	93.1	24.5525	31.4689
4	57	c	7/18/2004	23:46	-151.65	59.525	109	95	7.6568	0.4861	94.09	24.5527	31.4708
4	57	c	7/18/2004	23:46	-151.65	59.525	109	96	7.6586	0.4863	95.08	24.5527	31.4711
4	57	c	7/18/2004	23:46	-151.65	59.525	109	97	7.6665	0.4864	96.071	24.5527	31.4725
4	57	c	7/18/2004	23:46	-151.65	59.525	109	98	7.671	0.487	97.061	24.5527	31.4733
4	57	c	7/18/2004	23:46	-151.65	59.525	109	99	7.6747	0.4867	98.051	24.553	31.4744
4	57	c	7/18/2004	23:46	-151.65	59.525	109	100	7.671	0.4863	99.041	24.5536	31.4744
4	57	c	7/18/2004	23:46	-151.65	59.525	109	101	7.671	0.4873	100.031	24.5536	31.4744
4	57	c	7/18/2004	23:46	-151.65	59.525	109	102	7.666	0.4867	101.021	24.554	31.474
4	57	c	7/18/2004	23:46	-151.65	59.525	109	103	7.6651	0.4872	102.012	24.554	31.4738
4	57	c	7/18/2004	23:46	-151.65	59.525	109	104	7.6655	0.4868	103.002	24.554	31.4739
4	57	c	7/18/2004	23:46	-151.65	59.525	109	105	7.6657	0.4867	103.992	24.5542	31.4741
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	1	12.4236	0.926	0.991	20.7502	27.569
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	2	11.844	0.766	1.981	22.2517	29.3744
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	3	10.7783	0.7345	2.972	23.1329	30.2704
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	4	10.6332	0.6873	3.963	23.5983	30.8368
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	5	10.4407	0.6711	4.953	23.756	30.9978
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	6	9.9525	0.6618	5.944	23.9763	31.1773
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	7	9.6053	0.6685	6.934	24.0821	31.2411
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	8	9.3574	0.6871	7.925	24.1418	31.2676
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	9	9.0575	0.6945	8.916	24.2316	31.3231
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	10	8.9434	0.7108	9.906	24.259	31.3358
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	11	8.9058	0.7142	10.897	24.2664	31.338
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	12	8.7908	0.7334	11.887	24.3106	31.3723
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	13	8.7272	0.7273	12.878	24.3386	31.3957
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	14	8.7291	0.7244	13.869	24.3388	31.3963
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	15	8.7344	0.734	14.859	24.3411	31.4003
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	16	8.7494	0.714	15.85	24.3435	31.4063
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	17	8.7609	0.7133	16.84	24.3471	31.413
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	18	8.7754	0.7101	17.831	24.3549	31.4257
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	19	8.769	0.6932	18.821	24.3681	31.4413
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	20	8.7507	0.6774	19.812	24.3843	31.4585
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	21	8.7497	0.6588	20.803	24.3852	31.4595
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	22	8.7515	0.6599	21.793	24.3851	31.4596
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	23	8.7548	0.6598	22.784	24.3852	31.4604
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	24	8.7561	0.6408	23.774	24.3851	31.4605
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	25	8.7572	0.6461	24.765	24.3854	31.4611
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	26	8.7562	0.6519	25.756	24.3853	31.4607
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	27	8.699	0.6365	26.746	24.3961	31.4636
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	28	8.5919	0.6267	27.736	24.4131	31.4649
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	29	8.5638	0.6121	28.727	24.4175	31.4652
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	30	8.5555	0.6084	29.717	24.4189	31.4654
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	31	8.5449	0.6003	30.708	24.4207	31.4655
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	32	8.5278	0.6075	31.698	24.4252	31.4681
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	33	8.528	0.5859	32.689	24.4337	31.479
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	34	8.52	0.5757	33.679	24.4398	31.4852
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	35	8.5243	0.5698	34.67	24.4424	31.4893
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	36	8.5412	0.564	35.66	24.4463	31.4975
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	37	8.5281	0.5634	36.651	24.4485	31.4978
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	38	8.4891	0.5642	37.641	24.4532	31.4965
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	39	8.4613	0.5702	38.632	24.4559	31.4946
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	40	8.4411	0.5576	39.622	24.4576	31.493
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	41	8.4234	0.5576	40.613	24.4599	31.4926
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	42	8.3777	0.55	41.603	24.4641	31.4894
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	43	8.3814	0.5535	42.594	24.4669	31.4937
4	59	c	7/18/2004	23:46	-151.65	59.55833	78	44	8.3777	0.5481	43.584	24.4682	31.4947
